Item,Size,Price,Supplier
Acer saccharum 'Autumn Fest',15 Gallon,125.0,BH
Acer saccharum 'Autumn Fest',2 Inch,230.0,BH
Acer saccharum 'Autumn Fest',2.5 Inch,275.0,BH
Acer saccharum 'Autumn Fest',3 Inch,330.0,BH
Acer saccharum 'Autumn Fest',3.5 Inch,350.0,BH
Acer saccharum 'Autumn Fest',4 Inch,375.0,BH
Acer saccharum 'Bailsta',1.5 Inch,190.0,BH
Acer saccharum 'Bailsta',2 Inch,230.0,BH
Acer saccharum 'Bailsta',2.5 Inch,275.0,BH
Acer saccharum 'Bailsta',3 Inch,330.0,BH
Acer saccharum 'Bailsta',3.5 Inch,350.0,BH
Acer saccharum 'Bailsta',4 Inch,375.0,BH
Acer saccharum 'Flashfire',1.5 Inch,190.0,BH
Acer saccharum 'Flashfire',2 Inch,230.0,BH
Acer saccharum 'Flashfire',2.5 Inch,275.0,BH
Acer saccharum 'Flashfire',3 Inch,330.0,BH
Acer saccharum 'Flashfire',3.5 Inch,350.0,BH
Acer saccharum 'Green Mountain',1.5 Inch,190.0,BH
Acer saccharum 'Green Mountain',2 Inch,230.0,BH
Acer saccharum 'Green Mountain',2.5 Inch,275.0,BH
Acer saccharum 'Green Mountain',25 Gallon,165.0,BH
Acer saccharum 'Green Mountain',3 Inch,330.0,BH
Acer saccharum 'Green Mountain',4 Inch,375.0,BH
Acer truncatum x Acer platanoides 'Crimson Sunset',1.5 Inch,190.0,BH
Acer truncatum x Acer platanoides 'Crimson Sunset',2.5 Inch,255.0,BH
Acer truncatum x Acer platanoides 'Crimson Sunset',25 Gallon,165.0,BH
Acer truncatum x Acer platanoides 'Crimson Sunset',3 Inch,285.0,BH
Acer truncatum x Acer platanoides 'Crimson Sunset',3.5 Inch,340.0,BH
Acer truncatum x Acer platanoides 'Crimson Sunset',4 Inch,375.0,BH
Acer truncatum x Acer platanoides 'Crimson Sunset',5 Inch,425.0,BH
Acer truncatum x Acer platanoides 'Crimson Sunset',5.5 Inch,450.0,BH
Acer x freemanii 'Bailston',1.75 Inch,200.0,BH
Acer x freemanii 'Bailston',2 Inch,210.0,BH
Acer x freemanii 'Bailston',2.5 Inch,245.0,BH
Acer x freemanii 'Bailston',3 Inch,285.0,BH
Acer x freemanii 'Bailston',3.5 Inch,315.0,BH
Acer x freemanii 'Bailston',4 Inch,350.0,BH
Acer x freemanii 'Celzam' Â®,1.5 Inch,170.0,BH
Acer x freemanii 'Celzam' Â®,2 Inch,200.0,BH
Acer x freemanii 'Celzam' Â®,2.5 Inch,245.0,BH
Acer x freemanii 'Celzam' Â®,3 Inch,275.0,BH
Acer x freemanii 'Celzam' Â®,3.5 Inch,310.0,BH
Acer x freemanii 'Celzam' Â®,4 Inch,350.0,BH
Acer x freemanii 'Celzam' Â®,4.5 Inch,375.0,BH
Acer x freemanii 'Celzam' Â®,5 Inch,400.0,BH
Acer x freemanii 'Celzam' Â®,5.5 Inch,425.0,BH
Acer x freemanii 'Celzam' Â®,6 Inch,450.0,BH
Acer x freemanii 'DTR 102',1.5 Inch,170.0,BH
Acer x freemanii 'DTR 102',2 Inch,200.0,BH
Acer x freemanii 'DTR 102',2.5 Inch,245.0,BH
Acer x freemanii 'DTR 102',3 Inch,275.0,BH
Acer x freemanii 'DTR 102',3.5 Inch,310.0,BH
Acer x freemanii 'DTR 102',4 Inch,350.0,BH
Acer x freemanii 'DTR 102',4.5 Inch,375.0,BH
Acer x freemanii 'DTR 102',5 Inch,400.0,BH
Acer x freemanii 'Firefall',1.5 Inch,170.0,BH
Acer x freemanii 'Firefall',2.5 Inch,245.0,BH
Acer x freemanii 'Jeffersred',1.5 Inch,170.0,BH
Acer x freemanii 'Jeffersred',1.75 Inch,180.0,BH
Acer x freemanii 'Jeffersred',2 Inch,200.0,BH
Acer x freemanii 'Jeffersred',2.5 Inch,245.0,BH
Acer x freemanii 'Jeffersred',3 Inch,275.0,BH
Acer x freemanii 'Jeffersred',3.5 Inch,310.0,BH
Acer x freemanii 'Jeffersred',4 Inch,350.0,BH
Acer x freemanii 'Jeffersred',4.5 Inch,375.0,BH
Acer x freemanii 'Jeffersred',5 Inch,400.0,BH
Acer x freemanii 'Jeffersred',5.5 Inch,425.0,BH
Acer x freemanii 'Jeffersred',6 Inch,450.0,BH
Acer x freemanii 'Sienna',1.5 Inch,170.0,BH
Acer x freemanii 'Sienna',2 Inch,195.0,BH
Acer x freemanii 'Sienna',2.5 Inch,240.0,BH
Acer x freemanii 'Sienna',3 Inch,280.0,BH
Acer x freemanii 'Sienna',3.5 Inch,310.0,BH
Acer x freemanii 'Sienna',4 Inch,350.0,BH
Acer x freemanii 'Sienna',4.5 Inch,375.0,BH
Acer x freemanii 'Sienna',5 Inch,400.0,BH
Acer x freemanii 'Sienna',5.5 Inch,425.0,BH
Acer x freemanii 'Sienna',6 Inch,450.0,BH
Achillea millefolium 'Balvinwite',1 Gallon,8.0,BH
Achillea millefolium 'Moonshine',1 Gallon,8.0,BH
Achillea millefolium 'Paprika',1 Gallon,8.0,BH
Achillea millefolium 'Red Velvet',1 Gallon,9.0,BH
Achillea millefolium 'Walter Funcke',1 Gallon,8.0,BH
Actaea simplex 'Brunette',1 Gallon,9.0,BH
Actaea simplex 'Dark Side of the Moon',1 Gallon,9.0,BH
Adiantum pedatum,1 Gallon,9.0,BH
Aesculus flava,3 Inch,300.0,BH
Aesculus flava,4.5 Inch,425.0,BH
Aesculus flava,5 Inch,450.0,BH
Aesculus glabra,2 Inch,255.0,BH
Aesculus glabra,2.5 Inch,275.0,BH
Aesculus glabra,3 Inch,300.0,BH
Aesculus glabra,3.5 Inch,340.0,BH
Aesculus glabra,4 Inch,390.0,BH
Aesculus parviflora var. serotina 'Rogers',10 Gallon,75.0,BH
Aesculus parviflora var. serotina 'Rogers',3 Foot,110.0,BH
Aesculus x carnea 'Fort McNair',1.5 Inch,190.0,BH
Aesculus x carnea 'Fort McNair',2 Inch,225.0,BH
Aesculus x carnea 'Fort McNair',2.5 Inch,255.0,BH
Ajuga reptans 'Black Scallop',4 Inch Pot,8.0,BH
Ajuga reptans 'Catlin's Giant',1 Gallon,9.0,BH
Ajuga reptans 'Chocolate Chip',1 Gallon,8.0,BH
Alchemilla mollis,1 Gallon,8.0,BH
Allium senescens 'Blue Eddy',1 Gallon,8.0,BH
Allium tanguticum 'Summer Beauty',1 Gallon,8.0,BH
Allium 'Windy City',1 Gallon,8.0,BH
Amelanchier canadensis 'Ballerina' MS,6 Foot,175.0,BH
Amelanchier canadensis 'Ballerina' MS,7 Foot,185.0,BH
Amelanchier laevis 'Cumulus',1.5 Inch,180.0,BH
Amelanchier laevis 'Cumulus',2 Inch,225.0,BH
Amelanchier laevis 'Cumulus',2.5 Inch,250.0,BH
Amelanchier laevis 'JFS-Arb',1.5 Inch,170.0,BH
Amelanchier x grandiflora 'Autumn Brilliance',1.5 Inch,180.0,BH
Amelanchier x grandiflora 'Autumn Brilliance',1.75 Inch,200.0,BH
Amelanchier x grandiflora 'Autumn Brilliance',10 Gallon,100.0,BH
Amelanchier x grandiflora 'Autumn Brilliance',2 Inch,225.0,BH
Amelanchier x grandiflora 'Autumn Brilliance',2.5 Inch,250.0,BH
Amelanchier x grandiflora 'Autumn Brilliance' MS,10 Foot,210.0,BH
Amelanchier x grandiflora 'Autumn Brilliance' MS,11 Foot,225.0,BH
Amelanchier x grandiflora 'Autumn Brilliance' MS,12 Foot,325.0,BH
Amelanchier x grandiflora 'Autumn Brilliance' MS,15 Gallon,125.0,BH
Amelanchier x grandiflora 'Autumn Brilliance' MS,3 Foot,130.0,BH
Amelanchier x grandiflora 'Autumn Brilliance' MS,4 Foot,145.0,BH
Amelanchier x grandiflora 'Autumn Brilliance' MS,5 Foot,155.0,BH
Amelanchier x grandiflora 'Autumn Brilliance' MS,6 Foot,175.0,BH
